x1,x2,y
8.942899235052913,-2.872324371969011,1.0
-2.84194495720401,4.605613506036077,1.0
7.104505868922864,-4.585774927226001,1.0
-0.36184623355724455,7.636584449515997,1.0
-6.38673899239431,-6.587687444605857,-1.0
0.22435318639784718,0.3122936067239621,1.0
6.904727269782654,2.362790195850028,1.0
-7.208163717055376,3.922630982127952,-1.0
2.822734677047926,2.9506479770648575,1.0
-3.027121337817933,7.5430643800529715,1.0
-2.1436159344046857,-6.8295081710993415,-1.0
-7.611734541369115,7.806981968089218,1.0
9.014935257559888,5.33906548986047,1.0
4.550980834189129,-4.107028659521223,1.0
-9.791666707579662,-3.287571204866218,-1.0
3.142747839447214,6.631111318474321,1.0
-6.704835928720227,-9.476239997042082,-1.0
-0.6286888791662211,-3.9288151933331257,-1.0
3.926884396948182,7.525442808786007,1.0
-5.825053742371864,-7.5818797777827545,-1.0
-7.165952100770769,2.5102187773377658,-1.0
6.29771552706573,-8.061136013607442,-1.0
7.1138951672712665,0.3778985458467261,1.0
-1.8993409940083712,3.6951897826399964,1.0
7.021456315391717,1.1088971294084455,1.0
7.421150416637619,-4.874649294126492,1.0
-0.31127419054329586,-9.35705564838138,-1.0
6.667101432485378,8.852028475454002,1.0
7.568210012730127,8.010522231939628,1.0
-9.78964646275109,0.31641352573723225,-1.0
9.296892954768673,2.032201208198723,1.0
-8.855627935542092,1.9490823101581078,-1.0
0.3995205309232581,6.138291512451289,1.0
-0.9493850652896043,-5.26924692911146,-1.0
-3.7569046983119048,9.82355992465822,1.0
8.346653584029315,-0.2599196972087938,1.0
-1.3414367033226444,-3.9321434794683867,-1.0
1.9994271155760295,1.2198408750308225,1.0
-6.468714836819823,8.346754729997517,1.0
1.6603830384277671,-2.5310661225512643,1.0
1.1342326317548874,-7.830882428280608,-1.0
1.1504261910802285,-7.037502187360493,-1.0
-8.459466062748486,8.985287086781273,1.0
1.144175233864864,3.2503245927724613,1.0
5.146417467573279,5.753739104540056,1.0
-0.33212632295263056,0.3550154056926331,1.0
0.06429906549941933,4.5870029558005925,1.0
-9.18621332288603,3.103176350978785,-1.0
3.700450079831123,-4.295499472968814,1.0
4.162611397134013,4.183604217518255,1.0
